@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute leap-1 numeric
@attribute leap-2 numeric
@attribute leap-3 numeric
@attribute leap-4 numeric
@attribute leap-5 numeric
@attribute leap-6 numeric
@attribute leap-7 numeric
@attribute leap-8 numeric
@attribute leap-9 numeric
@attribute leap-10 numeric
@attribute leap-11 numeric
@attribute leap-12 numeric
@attribute leap-13 numeric
@attribute leap-14 numeric
@attribute leap-15 numeric
@attribute leap-16 numeric
@attribute leap-17 numeric
@attribute leap-18 numeric
@attribute leap-19 numeric
@attribute leap-20 numeric
@attribute leap-21 numeric
@attribute leap-22 numeric
@attribute leap-23 numeric
@attribute leap-24 numeric
@attribute leap-25 numeric
@attribute leap-26 numeric
@attribute leap-27 numeric
@attribute leap-28 numeric
@attribute leap-29 numeric
@attribute leap-30 numeric
@attribute leap-31 numeric
@attribute leap-32 numeric
@attribute leap-33 numeric
@attribute leap-34 numeric
@attribute leap-35 numeric
@attribute leap-36 numeric
@attribute leap-37 numeric
@attribute leap-38 numeric
@attribute leap-39 numeric
@attribute leap-40 numeric
@attribute leap-41 numeric
@attribute leap-42 numeric
@attribute leap-43 numeric
@attribute leap-44 numeric
@attribute leap-45 numeric
@attribute leap-46 numeric
@attribute leap-47 numeric
@attribute leap-48 numeric
@attribute leap-49 numeric
@attribute leap-50 numeric
@attribute leap-51 numeric
@attribute leap-52 numeric
@attribute leap-53 numeric
@attribute leap-54 numeric
@attribute leap-55 numeric
@attribute leap-56 numeric
@attribute leap-57 numeric
@attribute leap-58 numeric
@attribute leap-59 numeric
@attribute leap-60 numeric
@attribute amplitude numeric
@attribute frequency numeric

@data
11,'2024/11/13 08:18:57:232',2,0.046622,0.064284,0.040894,0.03347,0.043292,0.045399,0.006439,0.001823,0.000709,0.000314,0.099145,0.086017,0.075642,0.098561,0.096118,0.119967,0.016356,0.006794,0.004124,0.002548,0.056381,0.048195,0.036486,0.037658,0.044862,0.038492,0.00469,0.00199,0.001233,0.000778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
12,'2024/11/13 08:18:57:246',2,0.046865,0.064359,0.041085,0.034057,0.043776,0.045351,0.006502,0.00178,0.00051,0.000057,0.10116,0.087357,0.075316,0.102367,0.098035,0.118179,0.016117,0.005528,0.002864,0.001643,0.055648,0.047986,0.035947,0.038255,0.044902,0.037862,0.003965,0.001735,0.000977,0.00063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
13,'2024/11/13 08:18:57:260',2,0.046454,0.064045,0.040778,0.033656,0.043443,0.045147,0.006362,0.001671,0.000514,0.000129,0.103507,0.089447,0.07643,0.105704,0.099737,0.11813,0.016651,0.00531,0.001828,0.000547,0.055526,0.048271,0.035997,0.039176,0.045431,0.037622,0.003514,0.001642,0.000788,0.000462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
14,'2024/11/13 08:18:57:277',2,0.045496,0.063197,0.0401,0.032668,0.042546,0.044957,0.006374,0.001814,0.000855,0.000476,0.104235,0.090211,0.076947,0.106843,0.100431,0.118588,0.017003,0.005365,0.00152,0.000183,0.055675,0.048688,0.036306,0.04,0.046022,0.037599,0.003204,0.00139,0.000471,0.000227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
15,'2024/11/13 08:18:57:300',2,0.044052,0.061658,0.039093,0.031451,0.041364,0.044703,0.006401,0.002079,0.001135,0.0007,0.101807,0.088046,0.075218,0.104669,0.098429,0.11673,0.016623,0.005065,0.001736,0.000704,0.055633,0.0488,0.036466,0.040338,0.046238,0.037553,0.003204,0.001284,0.000302,0.000041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
16,'2024/11/13 08:18:57:314',2,0.042909,0.060319,0.03835,0.030723,0.04087,0.044636,0.006342,0.002231,0.001287,0.000819,0.098735,0.085416,0.073534,0.10218,0.097217,0.115969,0.017636,0.00547,0.002671,0.00152,0.055537,0.048688,0.03638,0.040244,0.046172,0.03747,0.003149,0.001291,0.000318,0.000066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
17,'2024/11/13 08:18:57:334',2,0.042201,0.059165,0.037838,0.030546,0.041198,0.044469,0.00615,0.002154,0.001319,0.000832,0.095852,0.082741,0.07208,0.100162,0.097345,0.115072,0.019007,0.005965,0.003213,0.001941,0.055213,0.048257,0.036003,0.039785,0.045815,0.037239,0.00299,0.001392,0.000471,0.000223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
18,'2024/11/13 08:18:57:351',2,0.041517,0.057922,0.037329,0.030659,0.041499,0.043844,0.005508,0.001814,0.001151,0.000726,0.093237,0.080122,0.070712,0.098722,0.097878,0.113262,0.019516,0.005939,0.003202,0.001975,0.0544,0.04735,0.03528,0.038964,0.045076,0.036672,0.002699,0.001369,0.000484,0.000279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
19,'2024/11/13 08:18:57:366',2,0.041606,0.057663,0.037497,0.031462,0.042234,0.043632,0.005125,0.001497,0.000913,0.00056,0.092417,0.079199,0.070724,0.099503,0.099833,0.112435,0.019336,0.005411,0.002897,0.001734,0.054135,0.046952,0.035057,0.038689,0.044905,0.036754,0.002583,0.001321,0.000524,0.000288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
20,'2024/11/13 08:18:57:377',2,0.041971,0.057781,0.037896,0.032391,0.043138,0.043543,0.004971,0.001148,0.000595,0.000329,0.092599,0.079267,0.071388,0.101249,0.101816,0.112504,0.018701,0.004619,0.002093,0.001177,0.054037,0.046747,0.034991,0.038657,0.04494,0.036868,0.002707,0.001221,0.000425,0.000204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
